City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Thompson,CA,2020-03-30 21:54:58,55.74,-97.86,26.6,45,90,8.05
109,Labuan,MY,2020-03-30 21:58:39,5.28,115.24,77.0,100,75,8.21
110,Tautira,PF,2020-03-30 21:58:40,-17.73,-149.15,89.6,62,50,3.36
111,Esperance,AU,2020-03-30 21:58:40,-33.87,121.9,51.8,93,36,4.7
112,Uyuni,BO,2020-03-30 21:58:40,-20.46,-66.83,64.26,12,86,1.25
113,Tasiilaq,GL,2020-03-30 21:58:41,65.61,-37.64,30.2,100,100,3.85
114,Soe,ID,2020-03-30 21:58:41,-9.86,124.28,64.26,75,28,0.67
115,Kodiak,US,2020-03-30 21:54:21,57.79,-152.41,35.6,37,1,13.87
116,Havoysund,NO,2020-03-30 21:58:42,71.0,24.66,24.8,73,40,13.87
117,Dourbali,TD,2020-03-30 21:58:42,11.81,15.86,89.85,22,79,5.5
118,Bundaberg,AU,2020-03-30 21:58:42,-24.85,152.35,69.8,94,100,6.93
119,Utamysh,RU,2020-03-30 21:58:43,42.41,47.75,59.0,54,99,20.13
120,Bilma,NE,2020-03-30 21:58:43,18.69,12.92,83.57,17,41,1.01
121,Dikson,RU,2020-03-30 21:58:43,73.51,80.55,-10.3,91,85,4.43
122,Turayf,SA,2020-03-30 21:58:44,31.67,38.66,60.8,44,58,11.41
123,Albany,US,2020-03-30 21:58:45,42.6,-73.97,46.4,75,90,6.93
124,Abu Samrah,SY,2020-03-30 21:53:59,35.3,37.18,52.61,66,61,4.16
125,Beringovskiy,RU,2020-03-30 21:58:46,63.05,179.32,27.41,94,74,15.35
126,Roald,NO,2020-03-30 21:55:05,62.58,6.13,39.2,86,100,10.29
127,Kenai,US,2020-03-30 21:54:56,60.55,-151.26,28.4,30,1,17.22
128,Nanortalik,GL,2020-03-30 21:55:44,60.14,-45.24,34.66,95,100,7.16
129,Faanui,PF,2020-03-30 21:58:47,-16.48,-151.75,82.44,79,70,13.89
130,Daru,PG,2020-03-30 21:58:47,-9.08,143.21,76.96,91,73,8.34
131,Lovozero,RU,2020-03-30 21:58:47,68.0,35.01,11.73,92,2,10.18
132,Longyearbyen,SJ,2020-03-30 21:58:48,78.22,15.64,-2.2,70,63,9.17
133,Nogales,MX,2020-03-30 21:58:49,31.31,-110.94,69.8,18,1,6.93
134,Alyangula,AU,2020-03-30 21:58:49,-13.85,136.42,73.4,100,63,7.11
135,Hermanus,ZA,2020-03-30 21:58:49,-34.42,19.23,59.0,84,94,1.01
136,Amposta,ES,2020-03-30 21:58:50,40.71,0.58,48.0,87,100,1.12
137,Olafsvik,IS,2020-03-30 21:58:51,64.89,-23.71,41.67,88,100,27.87
138,Avarua,CK,2020-03-30 21:58:51,-21.21,-159.78,84.2,74,40,10.29
139,Athabasca,CA,2020-03-30 21:56:20,54.72,-113.29,17.82,89,100,9.66
140,Camacha,PT,2020-03-30 21:58:52,33.08,-16.33,64.4,77,40,21.92
141,Batagay,RU,2020-03-30 21:58:52,67.63,134.63,0.48,87,96,2.62
142,Half Moon Bay,US,2020-03-30 21:56:23,37.46,-122.43,68.0,67,1,8.05
143,Narsaq,GL,2020-03-30 21:58:52,60.92,-46.05,32.0,91,100,1.43
144,Muzhi,RU,2020-03-30 21:58:53,65.37,64.67,12.92,89,15,7.83
145,Bay City,US,2020-03-30 21:57:37,43.59,-83.89,45.0,70,90,13.87
146,Bethel,US,2020-03-30 21:54:18,41.37,-73.41,50.0,75,90,4.7
147,Lompoc,US,2020-03-30 21:55:54,34.64,-120.46,69.01,59,1,16.11
148,Bandar,ID,2020-03-30 21:58:55,2.05,99.75,74.23,86,87,2.08
149,Sistranda,NO,2020-03-30 21:58:55,63.73,8.83,42.01,93,75,26.4
150,Thunder Bay,CA,2020-03-30 21:58:06,48.4,-89.32,48.2,34,40,2.24
151,East London,ZA,2020-03-30 21:58:56,-33.02,27.91,71.28,86,6,9.35
152,Portobelo,PA,2020-03-30 21:58:56,9.55,-79.65,91.99,43,20,18.34
153,Pangnirtung,CA,2020-03-30 21:58:56,66.15,-65.71,3.2,84,90,27.51
154,Merauke,ID,2020-03-30 21:55:11,-8.47,140.33,77.58,89,42,1.32
155,Port Macquarie,AU,2020-03-30 21:58:57,-31.43,152.92,66.99,88,4,1.12
