,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Type of Weather,Rain Inches(last 3h),Snow Inches(last 3h)
64,Slave Lake,CA,2020-04-02 21:51:32,55.28,-114.77,10.4,60,1,10.29,clear sky,Clear,0.0,0.0
65,Cabedelo,BR,2020-04-02 21:51:33,-6.98,-34.83,80.6,88,20,8.05,few clouds,Clouds,0.0,0.0
66,Lebu,CL,2020-04-02 21:51:34,-37.62,-73.65,61.83,61,0,21.99,clear sky,Clear,0.0,0.0
67,Palaikastron,GR,2020-04-02 21:51:34,35.2,26.25,55.0,71,92,7.0,overcast clouds,Clouds,0.0,0.0
68,Kapaa,US,2020-04-02 21:51:34,22.08,-159.32,80.6,69,1,8.05,clear sky,Clear,0.0,0.0
69,Ostersund,SE,2020-04-02 21:51:34,63.18,14.64,28.4,92,90,20.8,light snow,Snow,0.0,0.0
70,Hermanus,ZA,2020-04-02 21:51:35,-34.42,19.23,66.99,72,0,8.99,clear sky,Clear,0.0,0.0
71,Bilibino,RU,2020-04-02 21:51:35,68.05,166.44,4.64,88,99,2.44,overcast clouds,Clouds,0.0,0.0
72,Henties Bay,NA,2020-04-02 21:51:35,-22.12,14.28,59.0,95,0,4.0,clear sky,Clear,0.0,0.0
73,Bristol,US,2020-04-02 21:49:59,41.83,-71.17,46.99,75,90,13.87,light rain,Rain,0.0,0.0
74,Lavrentiya,RU,2020-04-02 21:51:36,65.58,-171.0,20.01,97,100,4.38,overcast clouds,Clouds,0.0,0.0
75,Bronnoysund,NO,2020-04-02 21:51:36,65.46,12.2,33.8,86,100,27.51,shower sleet,Snow,0.0,0.0
76,Dudinka,RU,2020-04-02 21:51:36,69.41,86.18,30.2,92,90,40.26,overcast clouds,Clouds,0.0,0.0
77,Ribeira Grande,PT,2020-04-02 21:51:37,38.52,-28.7,61.52,87,88,14.67,light rain,Rain,0.022047244094488192,0.0
78,Tiksi,RU,2020-04-02 21:51:37,71.69,128.87,-4.9,90,93,2.91,overcast clouds,Clouds,0.0,0.0
79,Lopsmarka,NO,2020-04-02 21:51:38,67.31,14.45,28.99,86,90,5.82,light snow,Snow,0.0,0.0
80,Coihaique,CL,2020-04-02 21:51:38,-45.58,-72.07,60.8,48,40,9.17,scattered clouds,Clouds,0.0,0.0
81,Bethel,US,2020-04-02 21:50:01,41.37,-73.41,55.99,37,40,17.22,scattered clouds,Clouds,0.0,0.0
82,Young,UY,2020-04-02 21:51:39,-32.68,-57.63,67.84,47,0,10.47,clear sky,Clear,0.0,0.0
83,Phayao,TH,2020-04-02 21:51:39,19.25,100.25,74.7,35,42,1.54,scattered clouds,Clouds,0.0,0.0
84,Zlatograd,BG,2020-04-02 21:51:39,41.38,25.1,42.01,80,95,3.0,overcast clouds,Clouds,0.0,0.0
85,Laela,TZ,2020-04-02 21:51:40,-8.57,32.05,61.65,62,97,6.55,light rain,Rain,0.013385826771653545,0.0
86,Labuhan,ID,2020-04-02 21:51:40,-6.88,112.21,78.89,81,53,1.97,broken clouds,Clouds,0.0,0.0
87,Barrow,US,2020-04-02 21:51:40,71.29,-156.79,10.4,92,1,11.41,clear sky,Clear,0.0,0.0
88,Plettenberg Bay,ZA,2020-04-02 21:51:41,-34.05,23.37,66.49,69,0,4.61,clear sky,Clear,0.0,0.0
89,Husavik,IS,2020-04-02 21:51:41,66.04,-17.34,24.8,73,90,4.7,light snow,Snow,0.0,0.0
90,Ponta Do Sol,PT,2020-04-02 21:51:42,32.67,-17.1,62.6,72,75,9.17,broken clouds,Clouds,0.0,0.0
91,Bocas Del Toro,PA,2020-04-02 21:51:43,9.33,-82.25,73.0,65,86,4.0,light rain,Rain,0.008661417322834646,0.0
92,Port Alfred,ZA,2020-04-02 21:51:43,-33.59,26.89,64.99,82,17,1.01,few clouds,Clouds,0.0,0.0
93,Daru,PG,2020-04-02 21:51:44,-9.08,143.21,78.42,86,100,8.12,overcast clouds,Clouds,0.0,0.0
94,Alice Springs,AU,2020-04-02 21:51:44,-23.7,133.88,77.0,65,75,6.93,broken clouds,Clouds,0.0,0.0
95,Kaitangata,NZ,2020-04-02 21:51:44,-46.28,169.85,57.0,76,11,2.1,few clouds,Clouds,0.0,0.0
96,Lagoa,PT,2020-04-02 21:51:45,39.05,-27.98,61.7,86,100,22.28,light rain,Rain,0.006299212598425198,0.0
97,Upernavik,GL,2020-04-02 21:51:45,72.79,-56.15,-2.38,90,89,9.86,overcast clouds,Clouds,0.0,0.0
98,Teguise,ES,2020-04-02 21:51:45,29.06,-13.56,64.4,68,20,9.17,few clouds,Clouds,0.0,0.0
99,Chokurdakh,RU,2020-04-02 21:51:45,70.63,147.92,-11.78,90,95,6.13,overcast clouds,Clouds,0.0,0.0
100,Constitucion,CL,2020-04-02 21:51:46,-35.33,-72.42,69.46,41,5,13.09,clear sky,Clear,0.0,0.0
101,Talnakh,RU,2020-04-02 21:51:46,69.49,88.4,30.2,92,90,40.26,overcast clouds,Clouds,0.0,0.0
102,Biga,TR,2020-04-02 21:51:46,40.23,27.24,46.99,93,75,13.87,light intensity shower rain,Rain,0.0,0.0
103,Xunchang,CN,2020-04-02 21:51:46,28.45,104.72,56.84,74,100,3.27,light rain,Rain,0.03779527559055118,0.0
104,Esperance,AU,2020-04-02 21:51:47,-33.87,121.9,59.0,58,90,17.22,overcast clouds,Clouds,0.0,0.0
105,Tres Arroyos,AR,2020-04-02 21:51:47,-38.37,-60.28,60.35,62,0,12.53,clear sky,Clear,0.0,0.0
106,Cayenne,GF,2020-04-02 21:51:48,4.93,-52.33,78.8,94,90,1.12,overcast clouds,Clouds,0.0,0.0
107,Mataura,NZ,2020-04-02 21:51:48,-46.19,168.86,55.99,94,49,3.0,scattered clouds,Clouds,0.0,0.0
108,Ambilobe,MG,2020-04-02 21:51:48,-13.2,49.05,75.81,88,39,1.52,light rain,Rain,0.007480314960629922,0.0
109,Aksaray,TR,2020-04-02 21:51:48,38.37,34.03,49.03,51,54,13.62,light rain,Rain,0.029527559055118113,0.0
110,La Ronge,CA,2020-04-02 21:51:49,55.1,-105.28,8.6,55,75,14.99,broken clouds,Clouds,0.0,0.0
111,Ada,US,2020-04-02 21:48:51,43.42,-116.13,48.0,33,20,10.29,few clouds,Clouds,0.0,0.0
112,Port Hedland,AU,2020-04-02 21:51:49,-20.32,118.57,73.4,88,10,10.74,clear sky,Clear,0.0,0.0
113,Bandarbeyla,SO,2020-04-02 21:51:49,9.49,50.81,79.61,70,65,8.12,broken clouds,Clouds,0.0,0.0
114,Saskylakh,RU,2020-04-02 21:51:50,71.92,114.08,-11.33,86,12,10.42,few clouds,Clouds,0.0,0.0
115,Batticaloa,LK,2020-04-02 21:51:50,7.71,81.69,76.35,79,2,3.8,clear sky,Clear,0.0,0.0
116,Aklavik,CA,2020-04-02 21:51:50,68.22,-135.01,15.8,43,5,19.46,clear sky,Clear,0.0,0.0
117,Naryan-Mar,RU,2020-04-02 21:51:51,67.67,53.09,5.83,93,11,2.68,few clouds,Clouds,0.0,0.0
118,Fukue,JP,2020-04-02 21:51:51,32.69,128.84,57.15,54,100,9.19,overcast clouds,Clouds,0.0,0.0
119,Matay,EG,2020-04-02 21:51:51,28.42,30.78,68.58,32,0,8.79,clear sky,Clear,0.0,0.0
120,Asau,RO,2020-04-02 21:51:52,46.43,26.4,39.2,48,8,13.87,clear sky,Clear,0.0,0.0
121,Kununurra,AU,2020-04-02 21:51:52,-15.77,128.73,82.4,74,40,4.7,scattered clouds,Clouds,0.0,0.0
122,Dingle,PH,2020-04-02 21:51:52,11.0,122.67,77.58,84,2,9.24,clear sky,Clear,0.0,0.0
123,Hilo,US,2020-04-02 21:49:48,19.73,-155.09,78.8,65,1,10.29,clear sky,Clear,0.0,0.0
124,San Ramon,US,2020-04-02 21:51:53,37.78,-121.98,69.01,23,1,4.7,clear sky,Clear,0.0,0.0
125,Nemuro,JP,2020-04-02 21:51:53,43.32,145.57,34.65,82,93,10.2,overcast clouds,Clouds,0.0,0.0
126,Ebnat-Kappel,CH,2020-04-02 21:51:53,47.26,9.12,46.0,64,20,2.59,few clouds,Clouds,0.0,0.0
127,East London,ZA,2020-04-02 21:51:53,-33.02,27.91,66.52,74,21,17.56,light rain,Rain,0.004330708661417323,0.0
128,Clyde River,CA,2020-04-02 21:51:54,70.47,-68.59,-2.2,64,5,6.93,clear sky,Clear,0.0,0.0
129,Pontes E Lacerda,BR,2020-04-02 21:51:54,-15.23,-59.34,83.01,78,99,2.24,light rain,Rain,0.044094488188976384,0.0
130,Mindelo,CV,2020-04-02 21:51:54,16.89,-24.98,73.4,73,0,20.8,clear sky,Clear,0.0,0.0
131,Rocha,UY,2020-04-02 21:51:54,-34.48,-54.33,64.24,67,82,30.15,light rain,Rain,0.005511811023622048,0.0
132,Yellowknife,CA,2020-04-02 21:50:31,62.46,-114.35,0.0,64,90,16.11,light snow,Snow,0.0,0.0
133,Laurel,US,2020-04-02 21:47:30,39.1,-76.85,62.6,33,40,17.22,scattered clouds,Clouds,0.0,0.0
134,Ulverstone,AU,2020-04-02 21:51:55,-41.15,146.17,55.99,99,100,6.8,overcast clouds,Clouds,0.0,0.0
135,Aksarka,RU,2020-04-02 21:51:56,66.56,67.8,12.72,93,82,11.92,broken clouds,Clouds,0.0,0.0
136,Beira,MZ,2020-04-02 21:51:56,-19.84,34.84,75.2,83,20,11.41,few clouds,Clouds,0.0,0.0
137,Halifax,CA,2020-04-02 21:51:10,44.65,-63.57,46.99,100,90,28.86,moderate rain,Rain,0.0,0.0
138,Kavieng,PG,2020-04-02 21:51:57,-2.57,150.8,82.94,74,50,5.75,scattered clouds,Clouds,0.0,0.0
139,Longonjo,AO,2020-04-02 21:51:57,-12.91,15.25,66.04,57,100,1.57,moderate rain,Rain,0.131496062992126,0.0
140,Pakxan,LA,2020-04-02 21:51:57,18.38,103.66,76.98,75,42,1.88,light rain,Rain,0.03346456692913386,0.0
141,Cherskiy,RU,2020-04-02 21:51:58,68.75,161.3,-0.56,92,86,6.11,overcast clouds,Clouds,0.0,0.0
142,Broken Hill,AU,2020-04-02 21:51:58,-31.95,141.43,66.2,72,90,11.41,overcast clouds,Clouds,0.0,0.0
143,Los Llanos De Aridane,ES,2020-04-02 21:51:58,28.66,-17.92,66.2,72,20,5.82,few clouds,Clouds,0.0,0.0
144,Nador,MA,2020-04-02 21:48:45,35.17,-2.93,59.0,67,9,12.75,light rain,Rain,0.018110236220472444,0.0
145,Aboisso,CI,2020-04-02 21:51:59,5.47,-3.21,79.09,86,100,3.91,overcast clouds,Clouds,0.0,0.0
146,Linguere,SN,2020-04-02 21:51:59,15.4,-15.12,95.41,16,100,15.75,overcast clouds,Clouds,0.0,0.0
147,Biak,ID,2020-04-02 21:52:00,-0.91,122.88,79.59,74,94,3.33,overcast clouds,Clouds,0.0,0.0
148,Gazli,UZ,2020-04-02 21:52:00,40.13,63.45,63.16,44,95,14.94,overcast clouds,Clouds,0.0,0.0
149,Saint-Joseph,RE,2020-04-02 21:52:00,-21.37,55.62,75.2,88,90,9.17,overcast clouds,Clouds,0.0,0.0
150,Guerrero,MX,2020-04-02 21:52:01,17.67,-100.0,89.24,19,23,2.42,few clouds,Clouds,0.0,0.0
151,Peleduy,RU,2020-04-02 21:52:01,59.63,112.74,4.96,89,0,1.77,clear sky,Clear,0.0,0.0
152,Praia Da Vitoria,PT,2020-04-02 21:52:01,38.73,-27.07,60.8,93,90,17.52,light intensity drizzle rain,Drizzle,0.0,0.0
153,Malanje,AO,2020-04-02 21:52:02,-9.54,16.34,67.28,67,100,1.72,light rain,Rain,0.007874015748031498,0.0
154,Sabha,LY,2020-04-02 21:52:02,27.04,14.43,78.51,14,16,7.45,few clouds,Clouds,0.0,0.0
155,Amuntai,ID,2020-04-02 21:52:02,-2.42,115.25,75.45,95,94,0.81,light rain,Rain,0.0956692913385827,0.0
156,Bara,NG,2020-04-02 21:52:03,10.37,10.73,90.86,38,95,8.7,overcast clouds,Clouds,0.0,0.0
157,Acapulco,MX,2020-04-02 21:50:06,16.86,-99.89,86.0,66,5,9.17,clear sky,Clear,0.0,0.0
158,Tuktoyaktuk,CA,2020-04-02 21:52:03,69.45,-133.04,6.8,65,5,25.28,clear sky,Clear,0.0,0.0
159,Tuy Hoa,VN,2020-04-02 21:52:03,13.08,109.3,77.41,83,72,5.77,light rain,Rain,0.004330708661417323,0.0
160,Jacareacanga,BR,2020-04-02 21:52:04,-6.22,-57.75,77.0,94,75,3.36,light rain,Rain,0.0,0.0
161,Kamthi,IN,2020-04-02 21:52:04,21.23,79.2,73.4,53,20,8.84,haze,Haze,0.0,0.0
162,Bathsheba,BB,2020-04-02 21:52:04,13.22,-59.52,82.4,61,20,13.87,few clouds,Clouds,0.0,0.0
163,Mwinilunga,ZM,2020-04-02 21:52:05,-11.74,24.43,63.43,64,93,4.21,overcast clouds,Clouds,0.0,0.0
164,Maputo,MZ,2020-04-02 21:52:05,-25.97,32.59,71.6,60,75,16.11,broken clouds,Clouds,0.0,0.0
165,Kayerkan,RU,2020-04-02 21:52:05,69.35,87.76,30.2,92,90,40.26,overcast clouds,Clouds,0.0,0.0
166,Isangel,VU,2020-04-02 21:52:06,-19.55,169.27,82.4,83,75,12.88,broken clouds,Clouds,0.0,0.0
167,Thasos,GR,2020-04-02 21:52:06,40.69,24.65,46.0,22,47,5.01,scattered clouds,Clouds,0.0,0.0
168,Buritizeiro,BR,2020-04-02 21:52:06,-17.35,-44.96,77.0,64,37,3.44,scattered clouds,Clouds,0.0,0.0
169,Avera,US,2020-04-02 21:52:07,33.19,-82.53,71.01,32,1,8.05,clear sky,Clear,0.0,0.0
170,Honiara,SB,2020-04-02 21:52:08,-9.43,159.95,77.0,94,90,8.05,light rain,Rain,0.0,0.0
171,Aripuana,BR,2020-04-02 21:52:09,-9.17,-60.63,86.29,69,58,0.89,light rain,Rain,0.007480314960629922,0.0
172,Sept-Iles,CA,2020-04-02 21:49:04,50.2,-66.38,42.8,87,90,14.99,light rain,Rain,0.0,0.0
173,Mastic Beach,US,2020-04-02 21:50:29,40.77,-72.85,57.2,65,90,13.87,overcast clouds,Clouds,0.0,0.0
174,Vila Velha,BR,2020-04-02 21:49:25,-20.33,-40.29,80.6,83,20,12.75,few clouds,Clouds,0.0,0.0
175,Fortuna,US,2020-04-02 21:52:10,40.6,-124.16,55.0,62,20,17.22,few clouds,Clouds,0.0,0.0
176,Yar-Sale,RU,2020-04-02 21:52:10,66.83,70.83,16.14,94,96,13.96,overcast clouds,Clouds,0.0,0.0
177,Batagay-Alyta,RU,2020-04-02 21:52:10,67.8,130.41,-5.58,79,86,1.68,overcast clouds,Clouds,0.0,0.0
178,Half Moon Bay,US,2020-04-02 21:47:30,37.46,-122.43,69.01,25,5,11.41,clear sky,Clear,0.0,0.0
179,Pevek,RU,2020-04-02 21:52:11,69.7,170.31,4.33,94,100,7.16,light snow,Snow,0.0,0.009448818897637795
180,Vigrestad,NO,2020-04-02 21:52:11,58.57,5.7,39.2,69,40,29.97,scattered clouds,Clouds,0.0,0.0
181,Havoysund,NO,2020-04-02 21:52:11,71.0,24.66,24.8,58,40,8.05,scattered clouds,Clouds,0.0,0.0
182,Pahrump,US,2020-04-02 21:52:12,36.21,-115.98,71.01,14,20,11.14,few clouds,Clouds,0.0,0.0
183,Makakilo City,US,2020-04-02 21:49:33,21.35,-158.09,82.4,65,1,9.17,clear sky,Clear,0.0,0.0
184,Neiafu,TO,2020-04-02 21:52:12,-18.65,-173.98,79.48,79,100,12.86,light rain,Rain,0.027559055118110236,0.0
185,Poum,NC,2020-04-02 21:52:12,-20.23,164.02,79.29,84,100,19.3,light rain,Rain,0.02598425196850394,0.0
186,Sibi,PK,2020-04-02 21:52:12,29.54,67.88,76.21,18,2,2.35,clear sky,Clear,0.0,0.0
187,Pisco,PE,2020-04-02 21:52:13,-13.7,-76.22,78.01,30,8,10.29,clear sky,Clear,0.0,0.0
188,Kruisfontein,ZA,2020-04-02 21:52:13,-34.0,24.73,62.29,81,0,11.95,clear sky,Clear,0.0,0.0
189,Yenagoa,NG,2020-04-02 21:52:13,4.92,6.26,80.11,86,70,4.56,broken clouds,Clouds,0.0,0.0
190,Kalmar,SE,2020-04-02 21:52:14,56.66,16.36,39.2,74,56,17.22,light snow,Snow,0.0,0.03622047244094489
191,Namibe,AO,2020-04-02 21:52:14,-15.2,12.15,74.86,72,87,4.85,overcast clouds,Clouds,0.0,0.0
192,Vvedenskoye,RU,2020-04-02 21:52:14,55.48,65.08,30.4,92,0,9.33,clear sky,Clear,0.0,0.0
193,Carnarvon,AU,2020-04-02 21:52:15,-24.87,113.63,69.8,73,18,13.87,few clouds,Clouds,0.0,0.0
194,Sisimiut,GL,2020-04-02 21:52:15,66.94,-53.67,7.23,85,5,10.31,clear sky,Clear,0.0,0.0
195,Hervey Bay,AU,2020-04-02 21:52:16,-25.3,152.85,73.0,100,11,6.93,few clouds,Clouds,0.0,0.0
196,Suyan,PH,2020-04-02 21:52:16,6.06,125.39,73.71,71,14,4.18,few clouds,Clouds,0.0,0.0
197,Mahebourg,MU,2020-04-02 21:52:16,-20.41,57.7,77.0,94,40,2.24,scattered clouds,Clouds,0.0,0.0
198,Nyalikungu,TZ,2020-04-02 21:52:16,-3.18,33.78,65.84,63,98,1.77,light rain,Rain,0.0940944881889764,0.0
199,Margate,GB,2020-04-02 21:52:17,51.38,1.39,51.01,61,64,6.93,light rain,Rain,0.006299212598425198,0.0
200,Jinhua,CN,2020-04-02 21:52:17,29.11,119.65,52.81,85,100,2.21,overcast clouds,Clouds,0.0,0.0
201,Georgetown,MY,2020-04-02 21:49:14,5.41,100.34,80.6,100,20,4.83,few clouds,Clouds,0.0,0.0
202,Solnechnyy,RU,2020-04-02 21:52:17,50.72,136.63,25.66,93,100,8.05,light snow,Snow,0.0,0.0452755905511811
203,Tilichiki,RU,2020-04-02 21:52:17,60.47,166.1,8.65,91,0,6.02,clear sky,Clear,0.0,0.0
204,Tura,IN,2020-04-02 21:52:18,25.52,90.22,71.58,44,50,4.61,light rain,Rain,0.014566929133858268,0.0
205,Tautira,PF,2020-04-02 21:52:18,-17.73,-149.15,86.0,66,5,8.05,clear sky,Clear,0.0,0.0
206,Sitka,US,2020-04-02 21:52:19,57.05,-135.33,39.2,38,1,3.36,clear sky,Clear,0.0,0.0
207,Mustasaari,FI,2020-04-02 21:52:19,63.11,21.68,33.8,94,90,10.29,light intensity shower rain,Rain,0.0,0.0
208,Twin Falls,US,2020-04-02 21:52:19,42.56,-114.46,48.99,48,40,13.87,scattered clouds,Clouds,0.0,0.0
209,Dong Hoi,VN,2020-04-02 21:52:20,17.48,106.6,75.25,92,29,3.83,scattered clouds,Clouds,0.0,0.0
210,Darnah,LY,2020-04-02 21:52:20,32.77,22.64,59.86,82,31,11.01,scattered clouds,Clouds,0.0,0.0
211,Axim,GH,2020-04-02 21:52:20,4.87,-2.24,80.62,85,100,5.26,overcast clouds,Clouds,0.0,0.0
212,Mattru,SL,2020-04-02 21:52:21,7.62,-11.83,81.19,78,38,6.22,light rain,Rain,0.007086614173228346,0.0
213,Birao,CF,2020-04-02 21:52:21,10.28,22.79,90.97,12,40,6.35,scattered clouds,Clouds,0.0,0.0
